7800;1.07E-06;0.017252911
7800.301587;1.11E-06;0.016488099
7800.602108;1.16E-06;0.015745549
7800.901516;1.20E-06;0.015025256
7801.199759;1.25E-06;0.014327218
7801.496785;1.29E-06;0.013651429
7801.79254;1.35E-06;0.012997888
7802.086966;1.40E-06;0.012366589
7802.380005;1.45E-06;0.011757529
7802.671596;1.51E-06;0.011170702
7802.961674;1.57E-06;0.010606105
7803.250174;1.63E-06;0.010063732
7803.537028;1.69E-06;0.009543578
7803.822162;1.76E-06;0.009045638
7804.105505;1.82E-06;0.008569905
7804.386978;1.90E-06;0.008116373
7804.666502;1.97E-06;0.007685035
7804.943993;2.05E-06;0.007275884
7805.219365;2.13E-06;0.006888913
7805.492528;2.21E-06;0.006524063
7805.76339;2.29E-06;0.006180733
7806.031854;2.38E-06;0.005857981
7806.297818;2.48E-06;0.00555486
7806.561179;2.57E-06;0.005270421
7806.821827;2.67E-06;0.005003716
7807.079651;2.78E-06;0.004753796
7807.334534;2.88E-06;0.004519712
7807.586353;3.00E-06;0.004300514
7807.834982;3.11E-06;0.004095252
7808.080291;3.23E-06;0.003902977
7808.322143;3.36E-06;0.00372274
7808.560396;3.49E-06;0.003553591
7808.794904;3.63E-06;0.003394583
7809.025515;3.77E-06;0.003244767
7809.25207;3.92E-06;0.003103196
7809.474404;4.07E-06;0.002968922
7809.692348;4.23E-06;0.002841002
7809.905723;4.39E-06;0.002718499
7810.114346;4.56E-06;0.002600825
7810.318026;4.74E-06;0.002487817
7810.516565;4.92E-06;0.00237934
7810.709757;5.12E-06;0.002275258
7810.897389;5.31E-06;0.002175438
7811.079238;5.52E-06;0.002079748
7811.255077;5.74E-06;0.001988054
7811.424664;5.96E-06;0.001900226
7811.587755;6.19E-06;0.001816134
7811.744091;6.43E-06;0.001735646
7811.893407;6.68E-06;0.001658635
7812.035427;6.94E-06;0.001584971
7812.169864;7.21E-06;0.001514525
7812.296421;7.49E-06;0.001447171
7812.414792;7.78E-06;0.001382779
7812.524656;8.08E-06;0.001321224
7812.625684;8.39E-06;0.001262378
7812.717532;8.72E-06;0.001206116
7812.799845;9.06E-06;0.001152322
7812.872257;9.41E-06;0.001100915
7812.934385;9.77E-06;0.001051817
7812.985835;1.01E-05;0.001004952
7813.026198;1.05E-05;0.000960243
7813.055052;1.09E-05;0.000917615
7813.071959;1.14E-05;0.000876989
7813.076465;1.18E-05;0.00083829
7813.068102;1.23E-05;0.000801442
7813.046384;1.27E-05;0.000766369
7813.010809;1.32E-05;0.000732994
7812.96086;1.37E-05;0.000701242
7812.896;1.42E-05;0.000671037
7812.815675;1.48E-05;0.000642304
7812.719313;1.53E-05;0.000614967
7812.606322;1.59E-05;0.000588953
7812.476091;1.65E-05;0.000564186
7812.327992;1.72E-05;0.000540593
7812.161372;1.78E-05;0.000518102
7811.975562;1.85E-05;0.000496659
7811.76987;1.92E-05;0.000476226
7811.543583;1.99E-05;0.000456764
7811.295966;2.07E-05;0.000438236
7811.026262;2.14E-05;0.000420602
7810.733693;2.22E-05;0.000403824
7810.417456;2.31E-05;0.000387863
7810.076728;2.39E-05;0.000372681
7809.71066;2.48E-05;0.000358239
7809.318381;2.57E-05;0.000344498
7808.898996;2.67E-05;0.000331422
7808.451588;2.77E-05;0.000318972
7807.975213;2.87E-05;0.000307111
7807.468906;2.97E-05;0.000295802
7806.931677;3.08E-05;0.000285008
7806.362513;3.19E-05;0.000274694
7805.760377;3.31E-05;0.000264823
7805.124209;3.43E-05;0.000255362
7804.452925;3.55E-05;0.000246277
7803.745421;3.68E-05;0.000237542
7803.000568;3.81E-05;0.000229146
7802.217217;3.94E-05;0.000221079
7801.3942;4.08E-05;0.00021333
7800.530325;4.22E-05;0.000205889
7799.624385;4.37E-05;0.000198746
7798.675152;4.52E-05;0.000191891
7797.681383;4.68E-05;0.000185314
7796.641819;4.84E-05;0.000179006
7795.555187;5.00E-05;0.000172957
7794.420202;5.17E-05;0.000167158
7793.235568;5.35E-05;0.0001616
7791.999981;5.53E-05;0.000156275
7790.712129;5.71E-05;0.000151173
7789.370698;5.90E-05;0.000146286
7787.974371;6.09E-05;0.000141606
7786.521831;6.29E-05;0.000137124
7785.011767;6.49E-05;0.000132833
7783.442873;6.70E-05;0.000128725
7781.813854;6.91E-05;0.000124792
7780.123428;7.12E-05;0.000121026
7778.370331;7.34E-05;0.000117422
7776.553319;7.57E-05;0.000113973
7774.671173;7.80E-05;0.000110673
7772.722704;8.03E-05;0.000107517
7770.706756;8.27E-05;0.0001045
7768.622211;8.51E-05;0.000101615
7766.467995;8.75E-05;9.89E-05
7764.243081;9.00E-05;9.62E-05
7761.946493;9.25E-05;9.37E-05
7759.577315;9.51E-05;9.13E-05
7757.134694;9.77E-05;8.90E-05
7754.617845;0.0001003;8.68E-05
7752.026055;0.000102942;8.47E-05
